PARLAMENTARIO_ID;NOMBRE_COMPLETO;VIGENTE;FECHA_NACIMIENTO;GENERO;SITIOS_WEB;CAMARA_ACTUAL;CAMARA;INICIO;FINAL;PARTIDO_POLITICO;UNIDAD_QUE_REPRESENTA
685;Francisco Chahuan Chahuan;1;1971-05-20;M;;Senado;Senado;2018;2026;Partido Renovación Nacional;6ª Circunscripción
5205;Nathalie Castillo Rojas;1;1983-07-02;F;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;5° Distrito
5241;Natalia Romero Talguia;1;1985-06-29;F;;C.Diputados;C. Diputados;2022;2026;;15° Distrito
71;Francisco Huenchumilla Jaramillo;1;1944-03-22;M;;Senado;Senado;2018;2026;Partido Demócrata Cristiano;11a Circunscripción
5202;Gonzalo De La Carrera Correa;1;1962-01-13;M;;C.Diputados;C. Diputados;2022;2026;;11° Distrito
5208;Monica Arce Castro;1;1986-03-02;F;;C.Diputados;C. Diputados;2022;2026;;12° Distrito
4602;Gonzalo Winter Etcheberry;1;1987-01-06;M;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;10° Distrito
5247;Maria Candelaria Acevedo Saez;1;1958-09-12;F;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;20° Distrito
5263;Francisco Pulgar Castillo;1;1971-05-27;M;;C.Diputados;C. Diputados;2022;2026;;17° Distrito
4610;Miguel Angel Calisto Aguila;1;1985-07-19;M;;C.Diputados;C. Diputados;2022;2026;Partido Demócratas Chile;27º Distrito
5219;Maria Francisca Bello Campos;1;1987-09-17;F;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;6° Distrito
4571;Miguel Mellado Suazo;1;1958-12-29;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;23° Distrito
5235;Gloria Naveillan Arriagada;1;1960-11-03;F;;C.Diputados;C. Diputados;2022;2026;;22° Distrito
5204;Marcia Raphael Mora;1;1963-12-06;F;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;27° Distrito
3669;Frank Sauerbaum Munoz;1;1972-11-21;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;19° Distrito
5196;Maria Jose Gatica Bertin;1;1984-04-15;F;;Senado;Senado;2022;2030;Partido Renovación Nacional;12ª Circunscripción
5274;Maria Luisa Cordero Velasquez;1;1943-01-23;F;;C.Diputados;C. Diputados;2022;2026;;10° Distrito
5254;Felix Bugueno Sotelo;1;1973-05-18;M;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;16° Distrito
5234;Miguel Becker Alvear;1;1960-10-07;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;23er Distrito
4554;Felix Gonzalez Gatica;1;1972-05-26;M;;C.Diputados;C. Diputados;2022;2026;Partido Ecologista Verde;20º Distrito
5261;Mercedes Bulnes Nunez;1;1950-06-06;F;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;17° Distrito
5214;Mauro Gonzalez Villaroel;1;1985-05-25;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;26° Distrito
4622;Gael Yeomans Araya;1;1988-12-04;F;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;13er Distrito
